項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
179091,11-08陳○惠(蔬果承銷人2083),臺北市中山區,山茼蒿,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
179093,19-11林○樺,臺北市中山區,絲瓜,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
179092,19-12林○樺,臺北市中山區,紅蘿蔔,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
212408,B248吳○民水果行,新北市板橋區,水晶芭,110/2/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
201603,「陳O義」,新北市板橋區,手工板豆腐,110/3/3,防腐劑(苯甲酸),不合格,違反食安法第18條，依同法第47條裁處,30000,,違反食安法第18條，依同法第47條裁處,high,第18條 食品添加物使用標準
201604,「陳O義」,新北市板橋區,手工板豆腐,110/3/3,殺菌劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
60877,丁○江蔬果行,臺北市北投區,青江菜,113/8/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
60880,丁○江蔬果行,臺北市北投區,青蒜,113/8/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
77414,丁○江蔬果行,臺北市北投區,大黃瓜(胡瓜),113/4/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
77543,丁○江蔬果行,臺北市北投區,白花椰菜,113/4/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
38285,余○鋒,臺北市中山區,茼蒿,114/1/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
