principal,date,law,name,id,lawcontent,docno,amt_dollartwd
黃文福,2024-07-10,職業安全衛生法第6條第1項,昌隆營造股份有限公司,999722860WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652246號,40000
孫彬勝,2024-07-10,職業安全衛生法第6條第1項,冠軍營造工程股份有限公司,999722861WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652272號,50000
張勝發,2024-07-10,職業安全衛生法第6條第1項,洛城營造有限公司,999722862WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652296號,70000
田中一彥,2024-07-10,職業安全衛生法第6條第1項,台灣松下營造股份有限公司,999722863WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652294號,70000
潘國順,2024-07-10,職業安全衛生法第6條第1項,萬代福營造有限公司,999722864WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652299號,80000
,2024-07-10,職業安全衛生法第6條第1項,鄔孟澤(即烏邑工程行),999722865WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652100號,30000
林志勇,2024-07-10,職業安全衛生法第6條第1項,天鵝堡營造股份有限公司,999722866WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652015號,30000
陳永松,2024-07-11,職業安全衛生法第6條第1項,國銘耐火工業股份有限公司,999722867WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652175號,30000
邵秀葉,2024-07-12,職業安全衛生法第6條第1項,榮華工程股份有限公司,999889557WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652353號,40000
鄭國盛,2024-07-12,職業安全衛生法第6條第1項,協侑營造有限公司,999889558WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652365號,90000
黃柏峰,2024-07-12,職業安全衛生法第6條第1項,冠柏營造股份有限公司,999889559WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652257號,30000
卓家雄,2024-07-12,職業安全衛生法第6條第1項,大家營造股份有限公司,999889560WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652419號,50000
張勝發,2024-07-12,職業安全衛生法第6條第1項,洛城營造有限公司,999889561WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134652496號,30000
